-512,372,840
-548,308,872
-440,192,916
-276,168,972
-288,224,904
-288,224,904
-88,124,880
-88,124,880
-72,116,936
120,412,984
-124,236,948
-108,100,1164
-108,100,1164
-156,-52,1132
40,8,1232
-84,-4,976
-264,-40,880
-196,-52,984
-32,60,1048
-64,-120,1120
-312,-120,988
-300,-128,1176
-300,-128,1176
-104,-140,1152
-216,-32,908
-184,-36,892
-212,-188,1016
-240,-128,936
-292,-60,1028
-224,-16,1056
-200,-116,1056
-252,-16,980
-220,4,984
-236,-52,1016
-228,-8,1024
-452,120,784
-364,8,964
-460,292,1396
-440,-16,968
-440,-16,968
-532,-44,692
-384,-24,960
-400,-12,968
-400,-44,980
-400,-16,964
-360,-16,992
-404,8,972
-396,-4,972
-404,-12,972
-404,-16,968
-392,-12,960
-404,-12,972
-408,-8,960
-396,-8,960
-408,-8,972
-392,-36,956
-84,16,1028
96,92,364
-48,32,1396
-140,-468,-164
-64,-388,-28
-568,-56,1044
-256,-816,1392
-256,-816,1392
-784,552,1572
124,28,1136
-108,152,4
-192,-184,768
-192,-184,768
-420,304,1916
-420,304,1916
-228,-24,968
-132,-144,876
-76,4,1524
-200,48,1072
-136,104,940
-136,-24,1060
-112,4,1036
-112,4,1036
-24,-4,1028
-40,0,1032
-48,0,1028
-48,0,1036
-52,0,1032
-52,0,1032
-48,-4,1028
-48,-4,1028
-48,-4,1028
-48,-4,1028
-48,-4,1020
-40,0,1024
-44,0,1024
-44,0,1036
-52,0,1028
-48,0,1020
-44,-4,1028
-44,-4,1032
-48,0,1028
-44,-8,1028
-44,0,1020
-48,0,1028
-48,-4,1032
-48,-4,1032
-36,-4,1020
-36,-4,1020
-44,-12,1040
-48,4,1028
-48,-4,1024
-44,4,1024
-52,0,1040
-44,-4,1024
-44,4,1028
-44,-4,1032
-48,0,1024
-48,0,1024
-48,-4,1032
-44,0,1024
