228,-708,100,696
281,-760,60,724
281,-760,60,724
385,-636,124,660
437,-712,240,800
490,-700,124,740
543,-652,184,716
596,-708,164,804
649,-748,168,772
701,-736,216,828
754,-632,348,952
807,-732,160,880
860,-716,236,612
860,-716,236,612
913,-392,-304,708
966,-564,240,1016
1019,-620,60,900
1072,-392,-236,916
1125,-332,-336,912
1178,-564,-472,736
1231,-520,-472,744
1231,-520,-472,744
1284,-396,-620,528
1337,-864,-516,428
1390,-1124,-200,8
1390,-1124,-200,8
1443,-424,-624,256
1496,-672,-920,360
1549,-188,-648,-280
1602,0,-1012,68
1655,-336,-400,-552
1708,-268,-672,-532
1761,-224,-1028,-612
1814,-1908,-1844,-820
1867,-960,-1264,-184
1920,-396,-508,648
1973,100,260,752
2026,368,132,188
2079,384,-296,216
2132,340,-512,132
2185,-84,-1856,832
2238,-2040,-2040,900
2291,-2040,-1944,260
2344,-1556,-304,-60
2397,-1120,32,-136
2503,-604,-1156,172
2609,-1040,-1768,324
2662,-40,-320,-16
2662,-40,-320,-16
2715,192,44,-8
2766,376,-20,560
2819,504,-44,560
2873,348,-560,872
2926,-900,-2040,-700
2980,-1284,-2040,-2040
2980,-1284,-2040,-2040
3034,-1772,-1112,-696
3087,-940,28,-984
3140,-404,116,-452
3194,-164,-244,52
3246,-896,-1268,-516
3246,-896,-1268,-516
3299,-1408,-2040,-428
3352,-316,-1076,-80
3405,-192,-348,-24
3458,116,-268,48
3511,304,288,604
3564,696,340,480
3617,-140,-1588,384
3670,-2040,-2040,-536
3670,-2040,-2040,-536
3723,-2040,-1412,-28
3777,-1552,-292,-568
3830,-792,112,-360
3883,-224,-160,-192
3936,-468,-688,-112
3989,-1080,-1156,-392
4042,-1420,-2040,992
4095,-288,-484,-148
4148,-388,-472,88
4201,-152,-356,200
4254,144,20,432
4307,296,44,492
4360,-756,-1596,84
4466,-2040,-860,120
4572,-464,64,-656
4625,-320,-140,-108
4678,-1188,-1040,-404
4731,-1700,-1796,100
4837,24,-352,168
4890,292,-356,196
4943,100,-380,544
4943,100,-380,544
4996,228,-340,356
5049,-964,-1104,-48
5102,-2040,-2040,-800
5155,-2040,-1412,-1076
5155,-2040,-1412,-1076
5208,-1348,-360,-656
5261,-80,-436,-44
5261,-80,-436,-44
5314,192,-668,140
5367,-236,-676,-32
5367,-236,-676,-32
5420,-720,-576,212
5473,-1124,-996,288
5526,-640,-584,228
5579,-424,-644,156
5632,-284,-488,72
5685,48,-260,-12
5844,-1964,-2040,-652
5897,-1644,-828,92
5950,-804,56,-640
5950,-804,56,-640
6003,-480,44,-368
6056,-220,-292,-184
6109,-808,-1228,72
6162,-1128,-2036,352
6162,-1128,-2036,352
6215,-732,-1308,156
6215,-732,-1308,156
6268,-520,-788,-184
6321,-284,-384,64
6374,-60,-8,196
6374,-60,-8,196
6427,100,60,404
6480,-292,-100,236
6586,-2040,-1868,-724
6586,-2040,-1868,-724
6639,-1516,-260,-12
6692,-884,-48,-460
6746,-340,-192,-124
6851,-1152,-872,-60
6904,-1724,-1948,316
6957,-520,-536,228
7010,-100,-416,-44
7063,124,-24,356
7116,312,56,348
7169,60,-136,460
7274,-2040,-2040,-332
7327,-1688,-904,-328
7380,-1068,-116,-616
7433,-628,-420,-396
7486,-264,-500,-48
7539,-600,-884,-44
7592,-792,-1056,160
7645,-844,-1244,400
7751,-452,-720,128
7804,-276,-68,120
7857,-420,-100,276
7910,-872,156,-140
7963,-2040,-2040,-284
8017,-2024,-1680,-900
8017,-2024,-1680,-900
8070,-1168,-256,-128
8123,-636,-260,-140
8176,-24,-544,-88
8229,-24,-588,8
8281,-696,-452,564
8387,-1052,-1156,280
8440,-572,-932,-16
8493,-564,-368,408
8546,-256,-188,124
8599,-568,-160,-128
8652,-1904,-956,-456
8705,-2040,-2040,-284
8758,-1424,-924,16
8811,-632,-504,224
8811,-632,-504,224
8864,-20,-432,112
8917,208,-440,-124
9023,-1040,-752,564
9076,-1036,-1268,520
9076,-1036,-1268,520
9129,-528,-1004,116
9182,-576,-616,148
9182,-576,-616,148
9235,-440,-220,-32
9288,-656,-100,-164
9341,-1808,-600,-512
9394,-2040,-1540,-204
9447,-1632,-1156,44
9500,-812,-444,164
9553,-268,-476,20
9606,216,-416,-80
9659,-228,-260,268
9712,-1136,-788,592
9712,-1136,-788,592
9765,-1168,-1204,516
9818,-636,-976,208
9818,-636,-976,208
9871,-784,-788,320
9924,-364,-176,72
9977,-364,-164,-96
10030,-1260,-104,-312
10083,-2040,-2040,-208
10083,-2040,-2040,-208
10136,-1624,-1480,-204
10189,-1320,-592,152
10295,-124,-412,84
10348,-228,-248,-64
10401,-860,-272,344
10454,-1464,-1156,1120
10560,-160,-484,-8
10613,-484,-524,212
10719,-548,-144,328
10772,-1940,-1560,168
10825,-2040,-1640,-380
10825,-2040,-1640,-380
10878,-1476,-332,80
10984,-268,-180,-300
11037,-280,-452,-44
11090,-868,-712,540
11090,-868,-712,540
11144,-1324,-1508,1132
11197,-492,-1096,20
11303,-300,-372,488
11356,-16,-272,124
11409,-516,-304,172
11462,-1860,-1596,-364
11462,-1860,-1596,-364
11516,-2040,-1656,-56
11569,-1432,-612,268
11622,-648,-132,124
11675,-264,-176,100
11728,32,-272,68
11781,-516,-608,252
11834,-1308,-1340,356
11834,-1308,-1340,356
11887,-960,-952,484
11940,-388,-740,344
11993,-516,-652,136
12046,-508,-520,-232
12099,-820,-484,-200
12152,-1156,-396,-76
12205,-2040,-1284,500
12205,-2040,-1284,500
12258,-1468,-1684,472
12311,-584,124,392
12364,-196,-316,572
12417,-132,-288,472
12470,-260,-532,220
12470,-260,-532,220
12523,-320,-596,1248
12523,-320,-596,1248
12576,-628,-332,284
12629,-564,-1616,1000
12629,-564,-1616,1000
12682,-1108,-944,1940
12788,-248,52,28
12841,-332,12,452
12894,-404,-296,916
12947,-12,-280,1368
13000,-216,288,772
13053,140,184,1916
13106,-116,496,1356
13106,-116,496,1356
13159,144,16,1048
13265,96,340,432
13318,-88,252,724
13371,736,600,764
13424,452,764,524
13477,448,564,568
13529,660,840,656
13582,420,640,740
13635,576,856,552
13688,416,808,448
13741,192,848,780
