304,436,836
308,352,968
308,352,968
336,312,852
444,356,992
440,272,880
344,412,828
424,480,844
372,536,800
408,520,816
388,440,824
352,460,744
368,288,796
188,596,632
564,720,1132
416,592,248
1496,1192,1164
692,732,968
-2040,-272,-580
-1360,788,1280
1672,2040,1996
-2040,2040,2040
-2040,-368,656
-1960,2040,2040
2016,1068,-744
2040,2040,1648
-2040,-376,648
-2040,988,764
188,2040,1224
2040,2040,-1488
344,2040,1992
-2040,1344,688
-2040,108,40
-304,2040,1856
2040,2040,-2040
828,2040,2040
-2040,1996,1652
832,2040,2040
832,2040,2040
2040,2040,-1204
-1824,2040,2040
-2040,232,300
-2040,2040,1992
2040,2040,-440
-1588,2040,2040
-2040,2040,2040
2040,2040,-760
2040,2040,2040
2040,2040,2040
-2040,2040,2040
-2040,80,652
1052,2040,2040
2040,1940,-2040
2040,2040,2040
-2040,720,2040
-2040,1716,1756
1800,2040,2040
1020,2040,2040
2040,1892,-1556
2040,2040,2040
-2040,2040,2040
-2040,-984,-164
2040,2040,-708
2040,2040,-1112
-1068,2040,2040
-2040,-1016,-56
-1684,2040,2040
2040,2040,568
-2040,2040,2040
-2040,-328,352
532,2040,2040
2040,2040,-1128
-2040,2040,2040
-2040,2040,2040
-2040,1152,1304
1212,2040,2040
1212,2040,2040
-2040,160,1640
-2040,2040,2040
-2040,2040,2040
2040,2040,1908
2040,2040,1908
2040,2040,1860
-2040,2040,2040
1764,2040,2040
2040,2040,-896
2040,2040,-896
1676,2040,2040
-2040,1236,2040
2040,2040,240
1472,132,320
836,2032,900
-536,272,960
32,-56,616
980,472,272
608,-76,712
704,1192,644
524,408,352
604,304,680
492,460,692
316,132,752
724,188,572
644,124,848
460,-92,892
164,0,1052
84,-12,880
8,-52,1024
72,-20,876
